0.0
___FIELD___Year___FIELD___	-25.0
07	2.0
John	-1.0
Programming	1.0
History	1.0
ANOMALOUS	1.0
Elevated	-1.0
Improvement	-1.0
0005	1.0
National	-2.0
safety	1.0
complex	-1.0
model	-1.0
Integrated	1.0
events	1.0
energy	-1.0
NSF	-1.0
Don	-1.0
Collaborative	-1.0
understand	1.0
CUBE	1.0
Pulsed	-1.0
analysis	-1.0
propose	1.0
Park	-1.0
Technologies	-1.0
Exchange	-1.0
Project	-1.0
Concepts	1.0
schools	-1.0
Alvin	-1.0
Illinois	4.0
Ian	-1.0
Application	-1.0
systematicall	1.0
study	1.0
Unrest	1.0
Theory	1.0
I	-1.0
SoD	1.0
Research	-1.0
Natural	2.0
Digging	1.0
ASE	1.0
systems	-1.0
causes	1.0
Champaign	4.0
anomalous	1.0
Social	2.0
Study	1.0
middle	-1.0
NASA	1.0
Algae	-1.0
RUI	-1.0
___FIELD___Amount___FIELD___	-643125.0
ORGANIZED	1.0
AVIATION	1.0
CAREER	1.0
Dan	4.0
help	1.0
JIAWEI	1.0
Economic	-1.0
HAN	1.0
ECS	1.0
Controlled	-1.0
reports	1.0
EVENTS	1.0
Deformation	-1.0
Wyoming	-2.0
ITR	1.0
soc	1.0
rural	-1.0
aviation	3.0
EVENT	1.0
Learning	2.0
Technology	1.0
Extraction	-1.0
First	-1.0
Randolph	-1.0
Bioinformatics	1.0
SBIR	-1.0
ISHER	1.0
Biaxial	-1.0
47840	1.0
Alloys	-1.0
Temperatures	-1.0
IVHM2	1.0
water	-1.0
Pennsylvania	-1.0
Fields	-1.0
Oil	-1.0
improve	1.0
State	-2.0
Roth	-1.0
Environment	1.0
DIversified	-1.0
Coherent	1.0
Inc	-2.0
analysts	1.0
Guided	1.0
Phase	-1.0
Lightweight	-1.0
HCER	1.0
Step	-1.0
interface	-1.0
we	1.0
Kidney	-1.0
Processing	1.0
Language	2.0
Quality	-1.0
sim	1.0
MINING	1.0
Bureau	-1.0
ILLINOIS	1.0
APPROACH	1.0
Applications	1.0
Electric	-1.0
resources	-1.0
Data	-2.0
int	1.0
Urbana	4.0
0511	1.0
Homicide	-1.0
Ohio	-1.0
UNDERSTANDING	1.0
