1.0
Networks	1.0
___FIELD___Year___FIELD___	16.0
Hung	1.0
Jiawei	0.0
Conference	1.0
Dimensional	1.0
Physical	1.0
Proceedings	1.0
Tru	1.0
VLDB	1.0
IEEE	0.0
recursion	-1.0
Tang	1.0
IL	1.0
Wenyu	-1.0
Lu	0.0
Comput	0.0
Peng	1.0
Systems	1.0
Kim	1.0
Analysis	1.0
Illinois	1.0
State	-1.0
Columbus	-1.0
Yu	1.0
Sensor	1.0
Inf	-1.0
Wen	1.0
study	-1.0
C	1.0
Trustworthiness	1.0
Chih	2.0
Projected	1.0
Chieh	1.0
Aggarwal	1.0
Cyber	1.0
2004	1.0
Xiao	1.0
Champaign	1.0
OH	-1.0
Framework	1.0
Streams	1.0
Charu	1.0
High	1.0
USA	0.0
linear	-1.0
Lun	-1.0
Dik	-1.0
Data	1.0
Clustering	1.0
Lee	-1.0
structure	-1.0
Urbana	2.0
Han	0.0
Alarm	1.0
Sci	0.0
Ohio	-1.0
Sangkyum	1.0
